2
1,56,32,0,8,8,0,1,1,0
1,64,32,0,8,8,0,1,1,0
1,80,32,0,8,8,0,1,1,0
1,88,32,0,8,8,0,1,1,0
1,96,32,0,8,8,0,1,1,0
1,104,32,0,8,8,0,1,1,0
1,112,32,0,8,8,0,1,1,0
1,32,32,0,8,8,0,1,1,0
1,40,32,0,8,8,0,1,1,0
1,48,32,0,8,8,0,1,1,0
1,136,32,0,8,8,0,1,1,0
1,72,32,0,8,8,0,1,1,0
1,216,64,0,8,8,0,1,1,0
1,144,32,0,8,8,0,1,10,3
5,65.1667,47.8333,0,10,10,0,1,20,1
1,120,32,0,8,8,0,1,1,0
1,120,32,0,8,8,0,1,1,0
1,128,32,0,8,8,0,1,1,0
1,152,32,0,8,8,0,1,1,0
1,136,32,0,8,8,0,1,1,0
1,176,32,0,8,8,0,1,1,0
1,192,32,0,8,8,0,1,1,0
1,184,32,0,8,8,0,1,1,0
1,200,32,0,8,8,0,1,1,0
1,208,32,0,8,8,0,1,1,0
1,216,32,0,8,8,0,1,1,0
1,216,40,0,8,8,0,1,1,0
1,208,48,0,8,8,0,1,1,0
1,160,32,0,8,8,0,1,1,0
1,168,32,0,8,8,0,1,1,0
1,208,72,0,8,8,0,1,1,0
1,216,56,0,8,8,0,1,1,0
1,208,56,0,8,8,0,1,1,0
1,208,64,0,8,8,0,1,1,0
9,179.278,44.3333,1,5,5,0,0,5,5
1,208,40,0,8,8,0,1,1,0
1,216,72,0,8,8,0,1,1,0
1,216,48,0,8,8,0,1,1,0
1,0,0,0,1,1,0,0,1,0
6,61.638,39.3413,1,4,4,1,0,10,0
